#k1  k2  Akw_up(w_target)    Akw_dn(w_target)
0  0  1.18673  1.18672
0  1  1.19787  1.15327
0  2  1.23233  1.06004
0  3  1.2935  0.925499
0  4  1.38781  0.772664
0  5  1.52619  0.621918
0  6  1.72681  0.486831
0  7  2.01993  0.373664
0  8  2.45623  0.28321
0  9  3.11734  0.213177
0  10  4.10769  0.16007
0  11  5.4096  0.120314
0  12  6.34805  0.0907718
0  13  5.65063  0.0689011
0  14  3.82379  0.0527346
0  15  2.31819  0.0407891
0  16  1.41581  0.0319639
0  17  0.907792  0.0254497
0  18  0.616682  0.0206551
0  19  0.444051  0.01715
0  20  0.33873  0.0146237
0  21  0.273805  0.0128549
0  22  0.234801  0.01169
0  23  0.213939  0.0110288
0  24  0.207373  0.0108145
0  25  0.213939  0.0110288
0  26  0.234801  0.01169
0  27  0.273805  0.0128549
0  28  0.33873  0.0146237
0  29  0.444051  0.01715
0  30  0.616682  0.0206551
0  31  0.907792  0.0254497
0  32  1.41581  0.0319639
0  33  2.31819  0.0407891
0  34  3.82379  0.0527346
0  35  5.65063  0.0689011
0  36  6.34805  0.0907718
0  37  5.4096  0.120314
0  38  4.10769  0.16007
0  39  3.11734  0.213177
0  40  2.45623  0.28321
0  41  2.01993  0.373664
0  42  1.72681  0.486831
0  43  1.52619  0.621918
0  44  1.38781  0.772664
0  45  1.2935  0.925499
0  46  1.23233  1.06004
0  47  1.19787  1.15327

1  0  1.15328  1.19786
1  1  1.16393  1.16392
1  2  1.19688  1.06937
1  3  1.25533  0.933017
1  4  1.34535  0.778275
1  5  1.47725  0.625833
1  6  1.66814  0.489412
1  7  1.94658  0.375289
1  8  2.36056  0.284194
1  9  2.98867  0.213754
1  10  3.93839  0.1604
1  11  5.2309  0.120497
1  12  6.30096  0.0908702
1  13  5.82046  0.0689528
1  14  4.02303  0.0527613
1  15  2.44539  0.040803
1  16  1.48708  0.0319717
1  17  0.948529  0.025455
1  18  0.641501  0.0206596
1  19  0.460345  0.0171545
1  20  0.350277  0.0146285
1  21  0.282638  0.01286
1  22  0.242093  0.0116954
1  23  0.220438  0.0110344
1  24  0.213626  0.0108201
1  25  0.220438  0.0110344
1  26  0.242093  0.0116954
1  27  0.282638  0.01286
1  28  0.350277  0.0146285
1  29  0.460345  0.0171545
1  30  0.641501  0.0206596
1  31  0.948529  0.025455
1  32  1.48708  0.0319717
1  33  2.44539  0.040803
1  34  4.02303  0.0527613
1  35  5.82046  0.0689528
1  36  6.30096  0.0908702
1  37  5.2309  0.120497
1  38  3.93839  0.1604
1  39  2.98867  0.213754
1  40  2.36056  0.284194
1  41  1.94658  0.375289
1  42  1.66814  0.489412
1  43  1.47725  0.625833
1  44  1.34535  0.778275
1  45  1.25533  0.933017
1  46  1.19688  1.06937
1  47  1.16393  1.16392

2  0  1.06005  1.23232
2  1  1.06938  1.19687
2  2  1.09822  1.09821
2  3  1.14926  0.956215
2  4  1.22763  0.795548
2  5  1.34197  0.637854
2  6  1.50659  0.497315
2  7  1.74532  0.380249
2  8  2.09851  0.287191
2  9  2.63449  0.215508
2  10  3.45966  0.161397
2  11  4.671  0.121049
2  12  6.00619  0.0911674
2  13  6.2139  0.0691088
2  14  4.65618  0.0528418
2  15  2.88008  0.0408449
2  16  1.73259  0.0319953
2  17  1.08766  0.0254709
2  18  0.72535  0.0206732
2  19  0.514871  0.017168
2  20  0.388633  0.0146429
2  21  0.311818  0.0128754
2  22  0.266094  0.0117116
2  23  0.241781  0.0110511
2  24  0.23415  0.010837
2  25  0.241781  0.0110511
2  26  0.266094  0.0117116
2  27  0.311818  0.0128754
2  28  0.388633  0.0146429
2  29  0.514871  0.017168
2  30  0.72535  0.0206732
2  31  1.08766  0.0254709
2  32  1.73259  0.0319953
2  33  2.88008  0.0408449
2  34  4.65618  0.0528418
2  35  6.2139  0.0691088
2  36  6.00619  0.0911674
2  37  4.671  0.121049
2  38  3.45966  0.161397
2  39  2.63449  0.215508
2  40  2.09851  0.287191
2  41  1.74532  0.380249
2  42  1.50659  0.497315
2  43  1.34197  0.637854
2  44  1.22763  0.795548
2  45  1.14926  0.956215
2  46  1.09822  1.09821
2  47  1.06938  1.19687

3  0  0.925505  1.29349
3  1  0.933024  1.25532
3  2  0.956221  1.14925
3  3  0.997142  0.997135
3  4  1.05963  0.825876
3  5  1.15015  0.658845
3  6  1.27927  0.511037
3  7  1.46448  0.388811
3  8  1.73538  0.292336
3  9  2.14315  0.218504
3  10  2.77563  0.163093
3  11  3.76324  0.121984
3  12  5.15764  0.0916696
3  13  6.31315  0.0693717
3  14  5.6978  0.052977
3  15  3.7989  0.0409152
3  16  2.27549  0.0320348
3  17  1.39197  0.0254976
3  18  0.904806  0.0206958
3  19  0.629231  0.0171907
3  20  0.467793  0.014667
3  21  0.37133  0.0129011
3  22  0.314651  0.0117387
3  23  0.284761  0.011079
3  24  0.275417  0.0108653
3  25  0.284761  0.011079
3  26  0.314651  0.0117387
3  27  0.37133  0.0129011
3  28  0.467793  0.014667
3  29  0.629231  0.0171907
3  30  0.904806  0.0206958
3  31  1.39197  0.0254976
3  32  2.27549  0.0320348
3  33  3.7989  0.0409152
3  34  5.6978  0.052977
3  35  6.31315  0.0693717
3  36  5.15764  0.0916696
3  37  3.76324  0.121984
3  38  2.77563  0.163093
3  39  2.14315  0.218504
3  40  1.73538  0.292336
3  41  1.46448  0.388811
3  42  1.27927  0.511037
3  43  1.15015  0.658845
3  44  1.05963  0.825876
3  45  0.997142  0.997135
3  46  0.956221  1.14925
3  47  0.933024  1.25532

4  0  0.772669  1.3878
4  1  0.77828  1.34534
4  2  0.795553  1.22762
4  3  0.825881  1.05962
4  4  0.871866  0.87186
4  5  0.937817  0.690404
4  6  1.03069  0.531481
4  7  1.16177  0.401454
4  8  1.34988  0.29987
4  9  1.62742  0.222857
4  10  2.05184  0.165542
4  11  2.72457  0.123326
4  12  3.79844  0.0923869
4  13  5.30804  0.0697458
4  14  6.36261  0.0531689
4  15  5.37361  0.0410147
4  16  3.42774  0.0320906
4  17  2.05078  0.0255351
4  18  1.28287  0.0207277
4  19  0.862484  0.0172225
4  20  0.624907  0.0147008
4  21  0.487063  0.0129373
4  22  0.407777  0.0117768
4  23  0.366533  0.0111183
4  24  0.353725  0.0109049
4  25  0.366533  0.0111183
4  26  0.407777  0.0117768
4  27  0.487063  0.0129373
4  28  0.624907  0.0147008
4  29  0.862484  0.0172225
4  30  1.28287  0.0207277
4  31  2.05078  0.0255351
4  32  3.42774  0.0320906
4  33  5.37361  0.0410147
4  34  6.36261  0.0531689
4  35  5.30804  0.0697458
4  36  3.79844  0.0923869
4  37  2.72457  0.123326
4  38  2.05184  0.165542
4  39  1.62742  0.222857
4  40  1.34988  0.29987
4  41  1.16177  0.401454
4  42  1.03069  0.531481
4  43  0.937817  0.690404
4  44  0.871866  0.87186
4  45  0.825881  1.05962
4  46  0.795553  1.22762
4  47  0.77828  1.34534

5  0  0.621921  1.52618
5  1  0.625837  1.47723
5  2  0.637857  1.34196
5  3  0.658849  1.15014
5  4  0.690408  0.937811
5  5  0.735141  0.735137
5  6  0.797158  0.560095
5  7  0.882965  0.41893
5  8  1.00308  0.310163
5  9  1.17511  0.228744
5  10  1.42966  0.168823
5  11  1.82214  0.125111
5  12  2.45405  0.0933344
5  13  3.49308  0.0702371
5  14  5.04528  0.0534197
5  15  6.32885  0.0411443
5  16  5.53254  0.0321631
5  17  3.58139  0.0255839
5  18  2.17409  0.020769
5  19  1.39222  0.0172637
5  20  0.967552  0.0147445
5  21  0.731406  0.012984
5  22  0.600005  0.0118259
5  23  0.533121  0.011169
5  24  0.512571  0.0109561
5  25  0.533121  0.011169
5  26  0.600005  0.0118259
5  27  0.731406  0.012984
5  28  0.967552  0.0147445
5  29  1.39222  0.0172637
5  30  2.17409  0.020769
5  31  3.58139  0.0255839
5  32  5.53254  0.0321631
5  33  6.32885  0.0411443
5  34  5.04528  0.0534197
5  35  3.49308  0.0702371
5  36  2.45405  0.0933344
5  37  1.82214  0.125111
5  38  1.42966  0.168823
5  39  1.17511  0.228744
5  40  1.00308  0.310163
5  41  0.882965  0.41893
5  42  0.797158  0.560095
5  43  0.735141  0.735137
5  44  0.690408  0.937811
5  45  0.658849  1.15014
5  46  0.637857  1.34196
5  47  0.625837  1.47723

6  0  0.486833  1.72679
6  1  0.489415  1.66813
6  2  0.497318  1.50658
6  3  0.511039  1.27926
6  4  0.531484  1.03068
6  5  0.560098  0.797153
6  6  0.59911  0.599106
6  7  0.651932  0.442366
6  8  0.723876  0.323755
6  9  0.823436  0.236411
6  10  0.964695  0.173046
6  11  1.17203  0.127385
6  12  1.48954  0.0945316
6  13  1.99976  0.0708537
6  14  2.85285  0.0537328
6  15  4.24415  0.0413053
6  16  5.92305  0.0322529
6  17  6.16362  0.025644
6  18  4.47768  0.0208199
6  19  2.84916  0.0173143
6  20  1.88077  0.0147982
6  21  1.3551  0.0130414
6  22  1.07419  0.0118863
6  23  0.935618  0.0112312
