#k1  k2  Akw_up(w_target)    Akw_dn(w_target)
0  0  1.09277  1.0987
0  1  1.11051  1.04597
0  2  1.16672  0.906468
0  3  1.27145  0.724092
0  4  1.44589  0.542753
0  5  1.73184  0.389209
0  6  2.21307  0.271688
0  7  3.05636  0.187158
0  8  4.51186  0.128516
0  9  6.1996  0.088616
0  10  5.50966  0.0617163
0  11  3.06469  0.0436471
0  12  1.55411  0.0315268
0  13  0.853914  0.0234151
0  14  0.522721  0.0180237
0  15  0.35626  0.0145068
0  16  0.270123  0.01232
0  17  0.228333  0.0111281
0  18  0.215799  0.0107499
0  19  0.228333  0.0111281
0  20  0.270123  0.01232
0  21  0.35626  0.0145068
0  22  0.522721  0.0180237
0  23  0.853914  0.0234151
0  24  1.55411  0.0315268
0  25  3.06469  0.0436471
0  26  5.50966  0.0617163
0  27  6.1996  0.088616
0  28  4.51186  0.128516
0  29  3.05636  0.187158
0  30  2.21307  0.271688
0  31  1.73184  0.389209
0  32  1.44589  0.542753
0  33  1.27145  0.724092
0  34  1.16672  0.906468
0  35  1.11051  1.04597

1  0  1.04045  1.11659
1  1  1.05687  1.06252
1  2  1.10883  0.91964
1  3  1.20543  0.733223
1  4  1.36578  0.548384
1  5  1.62746  0.39237
1  6  2.0658  0.273338
1  7  2.83362  0.18797
1  8  4.18984  0.128896
1  9  5.99635  0.088785
1  10  5.82618  0.0617881
1  11  3.37467  0.043677
1  12  1.7019  0.0315405
1  13  0.923424  0.0234237
1  14  0.559647  0.0180316
1  15  0.378847  0.0145153
1  16  0.286034  0.0123293
1  17  0.241226  0.0111379
1  18  0.227818  0.0107599
1  19  0.241226  0.0111379
1  20  0.286034  0.0123293
1  21  0.378847  0.0145153
1  22  0.559647  0.0180316
1  23  0.923424  0.0234237
1  24  1.7019  0.0315405
1  25  3.37467  0.043677
1  26  5.82618  0.0617881
1  27  5.99635  0.088785
1  28  4.18984  0.128896
1  29  2.83362  0.18797
1  30  2.0658  0.273338
1  31  1.62746  0.39237
1  32  1.36578  0.548384
1  33  1.20543  0.733223
1  34  1.10883  0.91964
1  35  1.05687  1.06252

2  0  0.901995  1.17327
2  1  0.915065  1.11491
2  2  0.956295  0.961194
2  3  1.03244  0.761885
2  4  1.15752  0.565944
2  5  1.35877  0.402163
2  6  1.69031  0.278418
2  7  2.26439  0.190457
2  8  3.30893  0.130054
2  9  5.0819  0.0892981
2  10  6.36039  0.0620056
2  11  4.47145  0.0437676
2  12  2.27321  0.031582
2  13  1.18779  0.0234498
2  14  0.696458  0.0180553
2  15  0.460843  0.0145409
2  16  0.343013  0.0123571
2  17  0.287048  0.0111673
2  18  0.270431  0.0107899
2  19  0.287048  0.0111673
2  20  0.343013  0.0123571
2  21  0.460843  0.0145409
2  22  0.696458  0.0180553
2  23  1.18779  0.0234498
2  24  2.27321  0.031582
2  25  4.47145  0.0437676
2  26  6.36039  0.0620056
2  27  5.0819  0.0892981
2  28  3.30893  0.130054
2  29  2.26439  0.190457
2  30  1.69031  0.278418
2  31  1.35877  0.402163
2  32  1.15752  0.565944
2  33  1.03244  0.761885
2  34  0.956295  0.961194
2  35  0.915065  1.11491

3  0  0.720891  1.27891
3  1  0.729958  1.21234
3  2  0.758414  1.03796
3  3  0.810417  0.81427
3  4  0.894418  0.597621
3  5  1.0264  0.419588
3  6  1.23715  0.28734
3  7  1.58936  0.194776
3  8  2.2184  0.132045
3  9  3.40858  0.090174
3  10  5.40564  0.0623744
3  11  6.20389  0.0439205
3  12  3.82431  0.0316519
3  13  1.92538  0.0234936
3  14  1.05939  0.0180952
3  15  0.668543  0.0145837
