#row col OParams_[row][col]
0              0               (0.415683,0)
2              2               (0.410056,0)
1              1               (0.530264,0)
3              3               (0.509002,0)
0              2               (0.0229019,0.0185866)
0              1               (0.322947,0.840966)
0              3               (0.0160167,0.0377949)
0             45               (0.173795,0.177925)
0             47               (0.0990956,0.051988)
0            529               (0.181517,0.357957)
0            531               (0.058253,0.932753)
2              3               (0.951333,0.570348)
2             47               (0.729099,0.580931)
2            531               (0.987445,0.813994)
1              2               (0.2446,0.704329)
1              3               (0.00158371,0.867698)
1              6               (0.412785,0.434424)
1             50               (0.946531,0.0462804)
