#alpha(site in real lattice)   0up   0dn  1up     1dn
0    0.506353    0.522494    0.985337    0.985817    
6    0.506353    0.522494    0.985337    0.985817    
12    0.506353    0.522494    0.985337    0.985817    
18    0.506353    0.522494    0.985337    0.985817    
24    0.506353    0.522494    0.985337    0.985817    
30    0.506353    0.522494    0.985337    0.985817    
1    0.506353    0.522494    0.985337    0.985817    
7    0.506353    0.522494    0.985337    0.985817    
13    0.506353    0.522494    0.985337    0.985817    
19    0.506353    0.522494    0.985337    0.985817    
25    0.506353    0.522494    0.985337    0.985817    
31    0.506353    0.522494    0.985337    0.985817    
2    0.506353    0.522494    0.985337    0.985817    
8    0.506353    0.522494    0.985337    0.985817    
14    0.506353    0.522494    0.985337    0.985817    
20    0.506353    0.522494    0.985337    0.985817    
26    0.506353    0.522494    0.985337    0.985817    
32    0.506353    0.522494    0.985337    0.985817    
3    0.506353    0.522494    0.985337    0.985817    
9    0.506353    0.522494    0.985337    0.985817    
15    0.506353    0.522494    0.985337    0.985817    
21    0.506353    0.522494    0.985337    0.985817    
27    0.506353    0.522494    0.985337    0.985817    
33    0.506353    0.522494    0.985337    0.985817    
4    0.506353    0.522494    0.985337    0.985817    
10    0.506353    0.522494    0.985337    0.985817    
16    0.506353    0.522494    0.985337    0.985817    
22    0.506353    0.522494    0.985337    0.985817    
28    0.506353    0.522494    0.985337    0.985817    
34    0.506353    0.522494    0.985337    0.985817    
5    0.506353    0.522494    0.985337    0.985817    
11    0.506353    0.522494    0.985337    0.985817    
17    0.506353    0.522494    0.985337    0.985817    
23    0.506353    0.522494    0.985337    0.985817    
29    0.506353    0.522494    0.985337    0.985817    
35    0.506353    0.522494    0.985337    0.985817    
