#alpha(site in real lattice)   up   dn
0    0.250001    0.250001    
4    0.250001    0.250001    
8    0.250001    0.250001    
12    0.250001    0.250001    
1    0.250001    0.250001    
5    0.250001    0.250001    
9    0.250001    0.250001    
13    0.250001    0.250001    
2    0.250001    0.250001    
6    0.250001    0.250001    
10    0.250001    0.250001    
14    0.250001    0.250001    
3    0.250001    0.250001    
7    0.250001    0.250001    
11    0.250001    0.250001    
15    0.250001    0.250001    
