#k1  k2  Akw_up(w_target)    Akw_dn(w_target)
0  0  0.00970021  0.00970022
0  1  0.00969117  0.00979019
0  2  0.00966428  0.0100666
0  3  0.00962013  0.0105496
0  4  0.0095597  0.0112766
0  5  0.0094843  0.0123079
0  6  0.00939556  0.0137375
0  7  0.00929534  0.0157121
0  8  0.0091857  0.0184646
0  9  0.00906881  0.0223773
0  10  0.00894694  0.0281048
0  11  0.00882235  0.0368341
0  12  0.00869729  0.0508795
0  13  0.00857391  0.0752069
0  14  0.00845426  0.121961
0  15  0.00834023  0.227094
0  16  0.00823358  0.53579
0  17  0.00813586  2.14089
0  18  0.00804843  57.0546
0  19  0.00797249  3.56738
0  20  0.00790903  1.0089
0  21  0.00785884  0.530681
0  22  0.00782256  0.367803
0  23  0.00780061  0.302811
0  24  0.00779327  0.284806
0  25  0.00780061  0.302811
0  26  0.00782256  0.367803
0  27  0.00785884  0.530681
0  28  0.00790903  1.0089
0  29  0.00797249  3.56738
0  30  0.00804843  57.0546
0  31  0.00813586  2.14089
0  32  0.00823358  0.53579
0  33  0.00834023  0.227094
0  34  0.00845426  0.121961
0  35  0.00857391  0.0752069
0  36  0.00869729  0.0508795
0  37  0.00882235  0.0368341
0  38  0.00894694  0.0281048
0  39  0.00906881  0.0223773
0  40  0.0091857  0.0184646
0  41  0.00929534  0.0157121
0  42  0.00939556  0.0137375
0  43  0.0094843  0.0123079
0  44  0.0095597  0.0112766
0  45  0.00962013  0.0105496
0  46  0.00966428  0.0100666
0  47  0.00969117  0.00979019
0  48  0.00970021  0.00970022

1  0  0.00979018  0.00969119
1  1  0.00978097  0.00978098
1  2  0.00975354  0.0100568
1  3  0.00970852  0.0105388
1  4  0.0096469  0.0112643
1  5  0.00957003  0.0122931
1  6  0.00947957  0.013719
1  7  0.00937743  0.0156881
1  8  0.0092657  0.018432
1  9  0.00914661  0.0223305
1  10  0.00902248  0.028034
1  11  0.00889561  0.0367198
1  12  0.00876829  0.05068
1  13  0.00864271  0.0748221
1  14  0.00852095  0.121111
1  15  0.00840494  0.224796
1  16  0.00829646  0.527003
1  17  0.00819708  2.06859
1  18  0.00810819  53.2868
1  19  0.00803098  3.74665
1  20  0.00796647  1.03699
1  21  0.00791547  0.54169
1  22  0.00787859  0.37428
1  23  0.00785629  0.307707
1  24  0.00784883  0.28929
1  25  0.00785629  0.307707
1  26  0.00787859  0.37428
1  27  0.00791547  0.54169
1  28  0.00796647  1.03699
1  29  0.00803098  3.74665
1  30  0.00810819  53.2868
1  31  0.00819708  2.06859
1  32  0.00829646  0.527003
1  33  0.00840494  0.224796
1  34  0.00852095  0.121111
1  35  0.00864271  0.0748221
1  36  0.00876829  0.05068
1  37  0.00889561  0.0367198
1  38  0.00902248  0.028034
1  39  0.00914661  0.0223305
1  40  0.0092657  0.018432
1  41  0.00937743  0.0156881
1  42  0.00947957  0.013719
