#k1  k2  Akw_up(w_target)    Akw_dn(w_target)
0  0  0.00139301  0.00145484
0  1  0.00117228  0.00122417
0  2  0.000761118  0.000794471
0  3  0.000446993  0.000466148
0  4  0.000266074  0.000276992
0  5  0.000169648  0.000176094
0  6  0.000118383  0.000122347
0  7  9.08319e-05  9.33385e-05
0  8  7.61632e-05  7.77567e-05
0  9  6.87613e-05  6.97523e-05
0  10  6.5452e-05  6.60449e-05
0  11  6.42606e-05  6.462e-05
0  12  6.40005e-05  6.4282e-05
0  13  6.42606e-05  6.462e-05
0  14  6.5452e-05  6.60449e-05
0  15  6.87613e-05  6.97523e-05
0  16  7.61632e-05  7.77567e-05
0  17  9.08319e-05  9.33385e-05
0  18  0.000118383  0.000122347
0  19  0.000169648  0.000176094
0  20  0.000266074  0.000276992
0  21  0.000446993  0.000466148
0  22  0.000761118  0.000794471
0  23  0.00117228  0.00122417
0  24  0.00139301  0.00145484

1  0  0.00117228  0.00122417
1  1  0.00100051  0.00104466
1  2  0.000669982  0.000699222
1  3  0.000405851  0.00042314
1  4  0.00024758  0.000257649
1  5  0.000160773  0.000166798
1  6  0.000113761  0.000117491
1  7  8.8253e-05  9.06111e-05
1  8  7.46668e-05  7.61523e-05
1  9  6.78953e-05  6.87973e-05
1  10  6.49724e-05  6.54846e-05
1  11  6.40005e-05  6.4282e-05
1  12  6.38129e-05  6.40172e-05
1  13  6.40005e-05  6.4282e-05
1  14  6.49724e-05  6.54846e-05
1  15  6.78953e-05  6.87973e-05
1  16  7.46668e-05  7.61523e-05
1  17  8.8253e-05  9.06111e-05
1  18  0.000113761  0.000117491
1  19  0.000160773  0.000166798
1  20  0.00024758  0.000257649
1  21  0.000405851  0.00042314
1  22  0.000669982  0.000699222
1  23  0.00100051  0.00104466
1  24  0.00117228  0.00122417

2  0  0.000761118  0.000794471
2  1  0.000669982  0.000699222
2  2  0.000481368  0.000502081
2  3  0.000314128  0.000327244
2  4  0.000203884  0.000211932
2  5  0.00013895  0.000143928
2  6  0.000102131  0.000105257
2  7  8.1721e-05  8.36841e-05
2  8  7.09348e-05  7.21252e-05
2  9  6.58525e-05  6.65054e-05
2  10  6.40005e-05  6.4282e-05
2  11  6.3653e-05  6.37092e-05
2  12  6.36743e-05  6.36542e-05
2  13  6.3653e-05  6.37092e-05
2  14  6.40005e-05  6.4282e-05
2  15  6.58525e-05  6.65054e-05
2  16  7.09348e-05  7.21252e-05
2  17  8.1721e-05  8.36841e-05
2  18  0.000102131  0.000105257
2  19  0.00013895  0.000143928
2  20  0.000203884  0.000211932
2  21  0.000314128  0.000327244
2  22  0.000481368  0.000502081
2  23  0.000669982  0.000699222
2  24  0.000761118  0.000794471

3  0  0.000446993  0.000466148
3  1  0.000405851  0.00042314
3  2  0.000314128  0.000327244
3  3  0.000223233  0.000232178
3  4  0.000156491  0.000162312
3  5  0.000113761  0.000117491
3  6  8.8253e-05  9.06111e-05
3  7  7.39389e-05  7.537e-05
3  8  6.67482e-05  6.75193e-05
3  9  6.40005e-05  6.4282e-05
3  10  6.3735e-05  6.3659e-05
3  11  6.43625e-05  6.40609e-05
3  12  6.47195e-05  6.43399e-05
3  13  6.43625e-05  6.40609e-05
3  14  6.3735e-05  6.3659e-05
3  15  6.40005e-05  6.4282e-05
3  16  6.67482e-05  6.75193e-05
3  17  7.39389e-05  7.537e-05
3  18  8.8253e-05  9.06111e-05
3  19  0.000113761  0.000117491
3  20  0.000156491  0.000162312
3  21  0.000223233  0.000232178
3  22  0.000314128  0.000327244
3  23  0.000405851  0.00042314
3  24  0.000446993  0.000466148

4  0  0.000266074  0.000276992
4  1  0.00024758  0.000257649
4  2  0.000203884  0.000211932
4  3  0.000156491  0.000162312
4  4  0.000118383  0.000122347
4  5  9.22449e-05  9.48315e-05
4  6  7.61632e-05  7.77567e-05
4  7  6.74818e-05  6.83387e-05
4  8  6.40005e-05  6.4282e-05
4  9  6.39604e-05  6.3776e-05
4  10  6.574e-05  6.51898e-05
4  11  6.77232e-05  6.693e-05
4  12  6.85651e-05  6.76857e-05
4  13  6.77232e-05  6.693e-05
4  14  6.574e-05  6.51898e-05
4  15  6.39604e-05  6.3776e-05
4  16  6.40005e-05  6.4282e-05
4  17  6.74818e-05  6.83387e-05
4  18  7.61632e-05  7.77567e-05
4  19  9.22449e-05  9.48315e-05
4  20  0.000118383  0.000122347
4  21  0.000156491  0.000162312
4  22  0.000203884  0.000211932
4  23  0.00024758  0.000257649
4  24  0.000266074  0.000276992

5  0  0.000169648  0.000176094
5  1  0.000160773  0.000166798
5  2  0.00013895  0.000143928
5  3  0.000113761  0.000117491
5  4  9.22449e-05  9.48315e-05
5  5  7.69863e-05  7.86373e-05
5  6  6.78953e-05  6.87973e-05
5  7  6.40005e-05  6.4282e-05
5  8  6.42065e-05  6.39451e-05
5  9  6.73214e-05  6.65721e-05
5  10  7.18147e-05  7.06491e-05
5  11  7.57573e-05  7.42991e-05
5  12  7.73295e-05  7.57644e-05
5  13  7.57573e-05  7.42991e-05
5  14  7.18147e-05  7.06491e-05
5  15  6.73214e-05  6.65721e-05
5  16  6.42065e-05  6.39451e-05
5  17  6.40005e-05  6.4282e-05
5  18  6.78953e-05  6.87973e-05
5  19  7.69863e-05  7.86373e-05
5  20  9.22449e-05  9.48315e-05
5  21  0.000113761  0.000117491
5  22  0.00013895  0.000143928
5  23  0.000160773  0.000166798
5  24  0.000169648  0.000176094

6  0  0.000118383  0.000122347
6  1  0.000113761  0.000117491
6  2  0.000102131  0.000105257
6  3  8.8253e-05  9.06111e-05
6  4  7.61632e-05  7.77567e-05
6  5  6.78953e-05  6.87973e-05
6  6  6.40005e-05  6.4282e-05
6  7  6.43625e-05  6.40609e-05
6  8  6.85651e-05  6.76857e-05
6  9  7.57573e-05  7.42991e-05
6  10  8.42371e-05  8.22413e-05
6  11  9.12981e-05  8.89023e-05
6  12  9.40781e-05  9.15318e-05
6  13  9.12981e-05  8.89023e-05
6  14  8.42371e-05  8.22413e-05
6  15  7.57573e-05  7.42991e-05
6  16  6.85651e-05  6.76857e-05
6  17  6.43625e-05  6.40609e-05
6  18  6.40005e-05  6.4282e-05
6  19  6.78953e-05  6.87973e-05
6  20  7.61632e-05  7.77567e-05
6  21  8.8253e-05  9.06111e-05
6  22  0.000102131  0.000105257
6  23  0.000113761  0.000117491
6  24  0.000118383  0.000122347

7  0  9.08319e-05  9.33385e-05
7  1  8.8253e-05  9.06111e-05
7  2  8.1721e-05  8.36841e-05
7  3  7.39389e-05  7.537e-05
7  4  6.74818e-05  6.83387e-05
7  5  6.40005e-05  6.4282e-05
7  6  6.43625e-05  6.40609e-05
7  7  6.90358e-05  6.81109e-05
7  8  7.81927e-05  7.65707e-05
7  9  9.12981e-05  8.89023e-05
7  10  0.00010623  0.000103055
7  11  0.000118712  0.000114923
7  12  0.000123668  0.000119642
7  13  0.000118712  0.000114923
7  14  0.00010623  0.000103055
7  15  9.12981e-05  8.89023e-05
7  16  7.81927e-05  7.65707e-05
7  17  6.90358e-05  6.81109e-05
7  18  6.43625e-05  6.40609e-05
7  19  6.40005e-05  6.4282e-05
7  20  6.74818e-05  6.83387e-05
7  21  7.39389e-05  7.537e-05
7  22  8.1721e-05  8.36841e-05
7  23  8.8253e-05  9.06111e-05
7  24  9.08319e-05  9.33385e-05

8  0  7.61632e-05  7.77567e-05
8  1  7.46668e-05  7.61523e-05
8  2  7.09348e-05  7.21252e-05
8  3  6.67482e-05  6.75193e-05
8  4  6.40005e-05  6.4282e-05
8  5  6.42065e-05  6.39451e-05
8  6  6.85651e-05  6.76857e-05
8  7  7.81927e-05  7.65707e-05
8  8  9.40781e-05  9.15318e-05
8  9  0.000116296  0.000112624
8  10  0.000142178  0.000137281
8  11  0.000164529  0.000158607
8  12  0.000173605  0.000167272
8  13  0.000164529  0.000158607
8  14  0.000142178  0.000137281
8  15  0.000116296  0.000112624
8  16  9.40781e-05  9.15318e-05
8  17  7.81927e-05  7.65707e-05
8  18  6.85651e-05  6.76857e-05
8  19  6.42065e-05  6.39451e-05
8  20  6.40005e-05  6.4282e-05
8  21  6.67482e-05  6.75193e-05
8  22  7.09348e-05  7.21252e-05
8  23  7.46668e-05  7.61523e-05
8  24  7.61632e-05  7.77567e-05

9  0  6.87613e-05  6.97523e-05
9  1  6.78953e-05  6.87973e-05
9  2  6.58525e-05  6.65054e-05
9  3  6.40005e-05  6.4282e-05
9  4  6.39604e-05  6.3776e-05
9  5  6.73214e-05  6.65721e-05
9  6  7.57573e-05  7.42991e-05
9  7  9.12981e-05  8.89023e-05
9  8  0.000116296  0.000112624
9  9  0.00015224  0.000146879
9  10  0.000196244  0.000188894
9  11  0.000236227  0.000227103
9  12  0.000252996  0.000243132
9  13  0.000236227  0.000227103
9  14  0.000196244  0.000188894
9  15  0.00015224  0.000146879
9  16  0.000116296  0.000112624
9  17  9.12981e-05  8.89023e-05
9  18  7.57573e-05  7.42991e-05
9  19  6.73214e-05  6.65721e-05
9  20  6.39604e-05  6.3776e-05
9  21  6.40005e-05  6.4282e-05
9  22  6.58525e-05  6.65054e-05
9  23  6.78953e-05  6.87973e-05
9  24  6.87613e-05  6.97523e-05

10  0  6.5452e-05  6.60449e-05
10  1  6.49724e-05  6.54846e-05
10  2  6.40005e-05  6.4282e-05
10  3  6.3735e-05  6.3659e-05
10  4  6.574e-05  6.51898e-05
10  5  7.18147e-05  7.06491e-05
10  6  8.42371e-05  8.22413e-05
10  7  0.00010623  0.000103055
10  8  0.000142178  0.000137281
10  9  0.000196244  0.000188894
10  10  0.000266525  0.000256066
10  11  0.000334272  0.000320849
10  12  0.000363774  0.000349066
10  13  0.000334272  0.000320849
10  14  0.000266525  0.000256066
10  15  0.000196244  0.000188894
10  16  0.000142178  0.000137281
10  17  0.00010623  0.000103055
10  18  8.42371e-05  8.22413e-05
10  19  7.18147e-05  7.06491e-05
10  20  6.574e-05  6.51898e-05
10  21  6.3735e-05  6.3659e-05
10  22  6.40005e-05  6.4282e-05
10  23  6.49724e-05  6.54846e-05
10  24  6.5452e-05  6.60449e-05

11  0  6.42606e-05  6.462e-05
11  1  6.40005e-05  6.4282e-05
11  2  6.3653e-05  6.37092e-05
11  3  6.43625e-05  6.40609e-05
11  4  6.77232e-05  6.693e-05
11  5  7.57573e-05  7.42991e-05
11  6  9.12981e-05  8.89023e-05
11  7  0.000118712  0.000114923
11  8  0.000164529  0.000158607
11  9  0.000236227  0.000227103
11  10  0.000334272  0.000320849
11  11  0.000433667  0.00041592
11  12  0.00047839  0.000458704
11  13  0.000433667  0.00041592
11  14  0.000334272  0.000320849
11  15  0.000236227  0.000227103
11  16  0.000164529  0.000158607
11  17  0.000118712  0.000114923
11  18  9.12981e-05  8.89023e-05
11  19  7.57573e-05  7.42991e-05
11  20  6.77232e-05  6.693e-05
11  21  6.43625e-05  6.40609e-05
11  22  6.3653e-05  6.37092e-05
11  23  6.40005e-05  6.4282e-05
11  24  6.42606e-05  6.462e-05

12  0  6.40005e-05  6.4282e-05
12  1  6.38129e-05  6.40172e-05
12  2  6.36743e-05  6.36542e-05
12  3  6.47195e-05  6.43399e-05
12  4  6.85651e-05  6.76857e-05
12  5  7.73295e-05  7.57644e-05
12  6  9.40781e-05  9.15318e-05
12  7  0.000123668  0.000119642
12  8  0.000173605  0.000167272
12  9  0.000252996  0.000243132
12  10  0.000363774  0.000349066
12  11  0.00047839  0.000458704
12  12  0.000530656  0.000508706
12  13  0.00047839  0.000458704
12  14  0.000363774  0.000349066
12  15  0.000252996  0.000243132
12  16  0.000173605  0.000167272
12  17  0.000123668  0.000119642
12  18  9.40781e-05  9.15318e-05
12  19  7.73295e-05  7.57644e-05
12  20  6.85651e-05  6.76857e-05
12  21  6.47195e-05  6.43399e-05
12  22  6.36743e-05  6.36542e-05
12  23  6.38129e-05  6.40172e-05
12  24  6.40005e-05  6.4282e-05

13  0  6.42606e-05  6.462e-05
13  1  6.40005e-05  6.4282e-05
13  2  6.3653e-05  6.37092e-05
13  3  6.43625e-05  6.40609e-05
13  4  6.77232e-05  6.693e-05
13  5  7.57573e-05  7.42991e-05
13  6  9.12981e-05  8.89023e-05
13  7  0.000118712  0.000114923
13  8  0.000164529  0.000158607
13  9  0.000236227  0.000227103
13  10  0.000334272  0.000320849
13  11  0.000433667  0.00041592
13  12  0.00047839  0.000458704
13  13  0.000433667  0.00041592
13  14  0.000334272  0.000320849
13  15  0.000236227  0.000227103
13  16  0.000164529  0.000158607
13  17  0.000118712  0.000114923
13  18  9.12981e-05  8.89023e-05
13  19  7.57573e-05  7.42991e-05
13  20  6.77232e-05  6.693e-05
13  21  6.43625e-05  6.40609e-05
13  22  6.3653e-05  6.37092e-05
13  23  6.40005e-05  6.4282e-05
13  24  6.42606e-05  6.462e-05

14  0  6.5452e-05  6.60449e-05
14  1  6.49724e-05  6.54846e-05
14  2  6.40005e-05  6.4282e-05
14  3  6.3735e-05  6.3659e-05
14  4  6.574e-05  6.51898e-05
14  5  7.18147e-05  7.06491e-05
14  6  8.42371e-05  8.22413e-05
14  7  0.00010623  0.000103055
14  8  0.000142178  0.000137281
14  9  0.000196244  0.000188894
14  10  0.000266525  0.000256066
14  11  0.000334272  0.000320849
14  12  0.000363774  0.000349066
14  13  0.000334272  0.000320849
14  14  0.000266525  0.000256066
14  15  0.000196244  0.000188894
14  16  0.000142178  0.000137281
14  17  0.00010623  0.000103055
14  18  8.42371e-05  8.22413e-05
14  19  7.18147e-05  7.06491e-05
14  20  6.574e-05  6.51898e-05
14  21  6.3735e-05  6.3659e-05
14  22  6.40005e-05  6.4282e-05
14  23  6.49724e-05  6.54846e-05
14  24  6.5452e-05  6.60449e-05

15  0  6.87613e-05  6.97523e-05
