#k1  k2  Akw_up(w_target)    Akw_dn(w_target)
0  0  0.116775  0.116783
0  1  0.117946  0.111657
0  2  0.121571  0.0981216
0  3  0.128014  0.0803931
0  4  0.137969  0.0625502
0  5  0.152644  0.0470534
0  6  0.17411  0.0347351
0  7  0.206045  0.0254431
0  8  0.255377  0.0186347
0  9  0.336381  0.0137156
0  10  0.482386  0.0101774
0  11  0.787066  0.00762907
0  12  1.60532  0.005785
0  13  5.32984  0.00444183
0  14  60.032  0.00345652
0  15  6.67734  0.00272875
0  16  1.64953  0.00218808
0  17  0.726363  0.00178485
0  18  0.413806  0.00148395
0  19  0.274481  0.00126043
0  20  0.202446  0.00109662
0  21  0.162204  0.000980084
0  22  0.13939  0.00090229
0  23  0.127574  0.000857688
0  24  0.123908  0.000843156
0  25  0.127574  0.000857688
0  26  0.13939  0.00090229
0  27  0.162204  0.000980084
0  28  0.202446  0.00109662
0  29  0.274481  0.00126043
0  30  0.413806  0.00148395
0  31  0.726363  0.00178485
0  32  1.64953  0.00218808
0  33  6.67734  0.00272875
0  34  60.032  0.00345652
0  35  5.32984  0.00444183
0  36  1.60532  0.005785
0  37  0.787066  0.00762907
0  38  0.482386  0.0101774
0  39  0.336381  0.0137156
0  40  0.255377  0.0186347
0  41  0.206045  0.0254431
0  42  0.17411  0.0347351
0  43  0.152644  0.0470534
0  44  0.137969  0.0625502
0  45  0.128014  0.0803931
0  46  0.121571  0.0981216
0  47  0.117946  0.111657
0  48  0.116775  0.116783

1  0  0.111649  0.117954
1  1  0.112737  0.112744
1  2  0.116102  0.0990006
1  3  0.12207  0.081024
1  4  0.131267  0.0629636
1  5  0.144768  0.0473071
1  6  0.164406  0.034884
1  7  0.19339  0.025528
1  8  0.237678  0.0186821
1  9  0.309276  0.0137415
1  10  0.435365  0.0101914
1  11  0.688862  0.00763652
1  12  1.32497  0.00578888
1  13  3.79865  0.00444382
1  14  34.1833  0.00345754
1  15  10.7679  0.00272929
1  16  2.10808  0.0021884
1  17  0.857592  0.0017851
1  18  0.470418  0.00148418
1  19  0.305422  0.00126068
1  20  0.222319  0.0010969
