#kindex  E(k,1)  orb=0,UP  orb=0,DOWN orb=1,UP  orb=1,DOWN ... E(k,2)  UP DOWN  .....
0   -5.58333   0.4986   0.5014   34   0.5014   0.4986   
1   -5.44703   0.4986   0.5014   34.1363   0.5014   0.4986   
2   -5.04743   0.4986   0.5014   34.5359   0.5014   0.4986   
3   -4.41176   0.4986   0.5014   35.1716   0.5014   0.4986   
4   -3.58333   0.4986   0.5014   36   0.5014   0.4986   
5   -2.61861   0.4986   0.5014   36.9647   0.5014   0.4986   
6   -1.58333   0.4986   0.5014   38   0.5014   0.4986   
7   -0.548055   0.4986   0.5014   39.0353   0.5014   0.4986   
8   0.416669   0.4986   0.5014   40   0.5014   0.4986   
9   1.2451   0.4986   0.5014   40.8284   0.5014   0.4986   
10   1.88077   0.4986   0.5014   41.4641   0.5014   0.4986   
11   2.28037   0.4986   0.5014   41.8637   0.5014   0.4986   
12   2.41667   0.4986   0.5014   42   0.5014   0.4986   
13   2.41667   0.4986   0.5014   42   0.5014   0.4986   
14   2.41667   0.4986   0.5014   42   0.5014   0.4986   
15   2.41667   0.4986   0.5014   42   0.5014   0.4986   
16   2.41667   0.4986   0.5014   42   0.5014   0.4986   
17   2.41667   0.4986   0.5014   42   0.5014   0.4986   
18   2.41667   0.4986   0.5014   42   0.5014   0.4986   
19   2.41667   0.4986   0.5014   42   0.5014   0.4986   
20   2.41667   0.4986   0.5014   42   0.5014   0.4986   
21   2.41667   0.4986   0.5014   42   0.5014   0.4986   
22   2.41667   0.4986   0.5014   42   0.5014   0.4986   
23   2.41667   0.4986   0.5014   42   0.5014   0.4986   
24   2.41667   0.4986   0.5014   42   0.5014   0.4986   
25   2.28037   0.4986   0.5014   41.8637   0.5014   0.4986   
26   1.88077   0.4986   0.5014   41.4641   0.5014   0.4986   
27   1.2451   0.4986   0.5014   40.8284   0.5014   0.4986   
28   0.416669   0.4986   0.5014   40   0.5014   0.4986   
29   -0.548055   0.4986   0.5014   39.0353   0.5014   0.4986   
30   -1.58333   0.4986   0.5014   38   0.5014   0.4986   
31   -2.61861   0.4986   0.5014   36.9647   0.5014   0.4986   
32   -3.58333   0.4986   0.5014   36   0.5014   0.4986   
33   -4.41176   0.4986   0.5014   35.1716   0.5014   0.4986   
34   -5.04743   0.4986   0.5014   34.5359   0.5014   0.4986   
35   -5.44703   0.4986   0.5014   34.1363   0.5014   0.4986   
36   -5.58333   0.4986   0.5014   34   0.5014   0.4986   
37   -5.44703   0.4986   0.5014   34.1363   0.5014   0.4986   
38   -5.04743   0.4986   0.5014   34.5359   0.5014   0.4986   
39   -4.41176   0.4986   0.5014   35.1716   0.5014   0.4986   
40   -3.58333   0.4986   0.5014   36   0.5014   0.4986   
41   -2.61861   0.4986   0.5014   36.9647   0.5014   0.4986   
42   -1.58333   0.4986   0.5014   38   0.5014   0.4986   
43   -0.548055   0.4986   0.5014   39.0353   0.5014   0.4986   
44   0.416669   0.4986   0.5014   40   0.5014   0.4986   
45   1.2451   0.4986   0.5014   40.8284   0.5014   0.4986   
46   1.88077   0.4986   0.5014   41.4641   0.5014   0.4986   
47   2.28037   0.4986   0.5014   41.8637   0.5014   0.4986   
48   2.41667   0.4986   0.5014   42   0.5014   0.4986   
49   2.41667   0.4986   0.5014   42   0.5014   0.4986   
50   2.41667   0.4986   0.5014   42   0.5014   0.4986   
51   2.41667   0.4986   0.5014   42   0.5014   0.4986   
52   2.41667   0.4986   0.5014   42   0.5014   0.4986   
53   2.41667   0.4986   0.5014   42   0.5014   0.4986   
54   2.41667   0.4986   0.5014   42   0.5014   0.4986   
55   2.41667   0.4986   0.5014   42   0.5014   0.4986   
56   2.41667   0.4986   0.5014   42   0.5014   0.4986   
57   2.41667   0.4986   0.5014   42   0.5014   0.4986   
58   2.41667   0.4986   0.5014   42   0.5014   0.4986   
59   2.41667   0.4986   0.5014   42   0.5014   0.4986   
60   2.41667   0.4986   0.5014   42   0.5014   0.4986   
61   2.28037   0.4986   0.5014   41.8637   0.5014   0.4986   
62   1.88077   0.4986   0.5014   41.4641   0.5014   0.4986   
63   1.2451   0.4986   0.5014   40.8284   0.5014   0.4986   
64   0.416669   0.4986   0.5014   40   0.5014   0.4986   
65   -0.548055   0.4986   0.5014   39.0353   0.5014   0.4986   
66   -1.58333   0.4986   0.5014   38   0.5014   0.4986   
67   -2.61861   0.4986   0.5014   36.9647   0.5014   0.4986   
68   -3.58333   0.4986   0.5014   36   0.5014   0.4986   
69   -4.41176   0.4986   0.5014   35.1716   0.5014   0.4986   
70   -5.04743   0.4986   0.5014   34.5359   0.5014   0.4986   
71   -5.44703   0.4986   0.5014   34.1363   0.5014   0.4986   
72   -5.58333   0.4986   0.5014   34   0.5014   0.4986   
73   -5.58333   0.4986   0.5014   34   0.5014   0.4986   
