# iter   OP_error_   E_class   E_quant    mu_   Total_Particles   OPs_.total_Den
0   1.38044702163348   -45519.7038607468   29961.9189324505    10.0265643253407   5160   4619.01075686559
1   0.6061543989188   -8836.90240196909   23835.9896223899    9.93786349484308   5160   4943.60430733434
2   0.528440469622059   -7590.35272812065   16631.310187144    9.96461862363249   5160   5038.56786826299
3   0.0989691316036592   -3283.4567505033   7752.28444423848    9.97929382991298   5160   5129.27909275082
4   0.0452518535474531   -1304.19499650046   5568.16888336968    9.98032318060286   5160   5151.79638818643
5   0.0102162523702907   -424.249046686743   4656.48438093055    9.98093560152699   5160   5160.20924032052
6   0.00190653910895181   -402.190036475924   4634.32651532327    9.9811211016264   5160   5160.11150802106
7   0.000652992194666219   -403.679093419568   4635.8211481762    9.98114505545369   5160   5160.02987385157
8   0.000207727094533002   -403.985928635371   4636.12885579877    9.98115264943379   5160   5160.00886887343
9   6.30019644256459e-05   -404.234203454042   4636.37750033488    9.98115504668912   5160   5160.00244994253
10   1.80573229793803e-05   -404.375262212871   4636.5175674516    9.98115579050647   5160   5160.00060820413
11   4.75048870530761e-06   -404.443906047901   4636.58695012116    9.9811560202693   5160   5160.00007006614
12   1.14363498307027e-06   -404.475611644821   4636.61788456568    9.98115608162241   5160   5159.99998472224
13   1.92850362360947e-07   -404.488235965039   4636.63046396849    9.98115609954268   5160   5159.99994359728
