# iter   OP_error_   E_class   E_quant    mu_   Total_Particles   OPs_.total_Den
0   0.871278274332939   -400.368362624383   -2098.72838729584    1.40498002974172   1728   1154.75268921646
1   0.252370968876454   -578.507585732398   -1662.07430635196    1.66092954391671   1728   1498.70106013797
2   0.154761656116793   -765.055045011673   -1487.70973882344    1.68715103542038   1728   1656.79094539328
3   0.0370254816756613   -860.209170762013   -1404.97929988519    1.77471391252953   1728   1724.76686631388
4   0.00867609069031132   -874.008880570511   -1392.17832111194    1.73803256785459   1728   1734.43037479114
5   0.00144656571478901   -868.408835640357   -1397.80613200837    1.73783544557952   1728   1728.33745251879
6   0.00071426087330374   -868.036809520673   -1398.17938053822    1.73745918611608   1728   1727.93293257186
7   0.000410551371546513   -868.046019547404   -1398.17047575584    1.73726929473493   1728   1727.95540059444
8   0.000238662271400404   -868.054505934486   -1398.16208874654    1.73715531731778   1728   1727.97309935169
9   0.000139904311907695   -868.060493153592   -1398.156135256    1.73708875688436   1728   1727.98393816326
10   8.23360016795162e-05   -868.064427397752   -1398.15221264621    1.73704977841759   1728   1727.99045131536
11   4.85409121760539e-05   -868.066902311302   -1398.14974177181    1.73702687294104   1728   1727.99433755767
12   2.86397199161637e-05   -868.068421697536   -1398.14822379146    1.7370133863563   1728   1727.99664726084
13   1.69039576084982e-05   -868.069341297679   -1398.14730468118    1.73700543700644   1728   1727.99801675671
14   9.97892641771851e-06   -868.069893050513   -1398.14675309909    1.73700074851193   1728   1727.99882758622
15   5.9168499415774e-06   -868.070247902866   -1398.14639830596    1.7369980109842   1728   1727.9993286818
16   3.564090081112e-06   -868.07011962066   -1398.14652660873    1.736996268235   1728   1727.99932813408
17   2.21461414960622e-06   -868.070378063956   -1398.14626817252    1.73699540590914   1728   1727.99962563904
18   1.37968542447125e-06   -868.070533752033   -1398.1461124872    1.73699488470384   1728   1727.99979860529
19   8.70654556484919e-07   -868.070639654164   -1398.14600658612    1.73699455164299   1728   1727.99991944214
