#row col OParams_[row][col]
0              0               (0.352409,0)
4              4               (0.153034,0)
1              1               (0.139586,0)
5              5               (0.363227,0)
2              2               (0.186745,0)
6              6               (0.312571,0)
3              3               (0.297332,0)
7              7               (0.195095,0)
0              4               (0.0708628,0.0862673)
0              1               (0.135084,-0.00874633)
0              5               (0.00687458,0.0714063)
0              2               (0.151748,0.0126507)
0              6               (0.0667994,-0.00865945)
0              3               (0.0124849,0.00359701)
0              7               (0.0159253,0.00721087)
4              5               (0.140902,0.00928301)
4              6               (0.124137,-0.0134226)
4              7               (0.0473324,-0.00346485)
1              4               (0.00433707,0.0404056)
1              5               (-0.052625,0.080815)
1              2               (0.0833463,0.0018112)
1              6               (0.00206078,0.00710725)
1              3               (0.119756,-0.0105654)
1              7               (-0.0406087,0.00520058)
5              6               (0.192968,-0.00227649)
5              7               (0.156655,0.0115674)
2              4               (0.0422471,0.00169128)
2              5               (0.0219539,-0.0159735)
2              6               (0.0898171,-0.0944774)
2              3               (0.13596,0.0144678)
2              7               (-0.00558963,-0.047233)
6              7               (0.140256,-0.015705)
3              4               (-0.00612562,-0.010412)
3              5               (-0.0656816,0.0013046)
3              6               (-0.00576107,-0.0646919)
3              7               (-0.10681,-0.0712717)
0              8               (-0.0206243,-7.45931e-17)
0             12               (-0.0119177,0.00465734)
0              9               (-0.0239354,0.00333611)
0             13               (-0.00119207,-0.0165929)
0             10               (-0.0238675,-0.00101201)
0             14               (-0.0133316,0.0012115)
0             11               (0.00465208,-0.00165016)
0             15               (-0.00699724,-0.00274936)
4             12               (0.019595,-1.64934e-17)
4             13               (-0.0248694,-0.00357035)
4             14               (-0.0184851,0.00122924)
4             15               (-0.0119932,0.00154264)
1             12               (0.00433707,0.0404056)
1              9               (0.0210144,-3.72966e-17)
1             13               (0.0128348,0.00588717)
1             10               (0.0459015,-0.0016058)
1             14               (0.005374,-0.00954882)
1             11               (-0.0164618,0.000946087)
1             15               (0.0107335,-0.0010923)
5             13               (-0.023635,3.12386e-17)
5             14               (0.0105063,0.00233911)
5             15               (-0.0259105,-0.000556886)
2             12               (-0.00826599,-0.00107668)
2             13               (-0.00225125,0.00210904)
2             10               (0.0128061,-2.1684e-17)
2             14               (-0.0202366,-0.00383612)
2             11               (-0.0243564,-0.00562763)
2             15               (0.00150699,0.00707778)
6             14               (-0.0121034,2.1684e-19)
6             15               (-0.0239645,0.00677226)
3             12               (0.00206604,0.017124)
3             13               (0.0274744,0.00217454)
3             14               (-0.00576107,-0.0646919)
3             11               (-0.00881828,-4.25007e-17)
3             15               (0.0189234,-0.008395)
7             15               (0.0117655,-1.55041e-17)
0             16               (0.00512852,-6.41848e-17)
0             20               (0.00319422,-0.00121458)
0             17               (0.00341075,-0.00152507)
0             21               (0.000861921,0.006485)
0             18               (0.00604941,-0.00200673)
0             22               (-0.000340593,0.000406106)
0             19               (-0.0049552,-5.19365e-05)
0             23               (0.00061777,-0.000487399)
4             20               (-0.00436703,-2.90024e-18)
4             21               (0.00512332,0.00148138)
4             22               (0.00539219,0.00187326)
4             23               (8.31369e-07,2.26786e-05)
1             20               (-0.000570263,-0.00473346)
1             17               (-0.00602054,-1.56125e-17)
1             21               (-0.00317786,-0.00210906)
1             18               (-0.0113249,0.000633979)
1             22               (-0.00204337,0.00380422)
1             19               (0.00465995,0.00140752)
1             23               (-0.00325543,-0.000153372)
5             21               (0.00622567,-1.24412e-17)
5             22               (0.00571963,-0.000902352)
5             23               (0.0064224,-0.00211685)
2             20               (0.00472104,0.000275011)
2             21               (-0.00212826,0.00132189)
2             18               (-0.00406918,-2.94903e-17)
2             22               (0.00495305,0.00161991)
2             19               (0.00363409,0.00255365)
2             23               (-0.000169155,-0.00237876)
6             22               (0.00355324,-3.54805e-17)
6             23               (0.00489854,-0.00286446)
3             20               (0.000877812,-0.00215238)
3             21               (-0.0122928,-0.00103179)
3             22               (0.000347505,0.0143903)
3             19               (0.00166144,-1.04083e-17)
3             23               (-0.00483073,0.00257779)
7             23               (-0.00211211,-1.09233e-17)
0             24               (-0.00412722,2.09448e-17)
0             28               (-0.00104251,0.00278665)
0             25               (0.00341075,-0.00152507)
0             29               (0.000861921,0.006485)
0             26               (-0.00255514,0.000140214)
0             30               (-0.0024759,0.000130112)
0             27               (0.00759086,0.000734775)
0             31               (0.00146679,0.00226128)
4             28               (0.00158305,1.07509e-17)
4             29               (0.00512332,0.00148138)
4             30               (-0.00196235,-6.72647e-05)
4             31               (0.00488555,-0.000671984)
1             28               (-4.88655e-05,0.00129476)
1             25               (0.00165409,9.87699e-18)
1             29               (0.00115816,0.00401055)
1             26               (0.000541055,4.02947e-05)
1             30               (-0.00055917,0.000312622)
1             27               (-0.000867756,-4.22658e-05)
1             31               (0.00245651,-0.000176037)
5             29               (0.000233737,2.00377e-17)
5             30               (-0.00460144,-0.000424053)
5             31               (-0.00354544,0.000382333)
2             28               (-0.00262306,6.58863e-06)
2             29               (-9.13487e-05,0.000158703)
2             26               (0.00111558,1.21633e-17)
2             30               (-0.00143051,-0.00377949)
2             27               (0.00363409,0.00255365)
2             31               (-0.000169155,-0.00237876)
6             30               (0.000598582,1.79091e-17)
6             31               (0.00489854,-0.00286446)
3             28               (-0.00183112,-0.00154772)
3             29               (0.00205717,4.66632e-05)
3             30               (-0.00058781,-0.0054672)
3             27               (-0.00186945,1.79022e-17)
3             31               (0.00138028,-0.00368393)
7             31               (0.000811627,1.28798e-17)
0             32               (0.00512852,6.41848e-17)
0             36               (0.00319422,-0.00121458)
0             33               (-0.0239354,0.00333611)
0             37               (-0.00119207,-0.0165929)
0             34               (-0.00236002,0.00472679)
0             38               (0.0128322,-0.000750347)
0             35               (-0.033458,0.000267933)
0             39               (0.00502987,-0.000337447)
4             36               (-0.00436703,2.90024e-18)
4             37               (-0.0248694,-0.00357035)
4             38               (-0.00423228,-0.00427065)
4             39               (-0.00949539,-0.00037527)
1             36               (-4.88655e-05,0.00129476)
1             33               (-0.00602054,1.56125e-17)
1             37               (-0.00317786,-0.00210906)
1             34               (0.00366669,-0.000293778)
1             38               (0.00207873,-0.00180823)
1             35               (-0.00680414,-0.00361492)
1             39               (-0.00352612,0.00177487)
5             37               (0.00622567,1.24412e-17)
5             38               (0.00651832,0.0010733)
5             39               (0.000604887,0.00353517)
2             36               (0.00295193,-0.000294812)
2             37               (0.00552329,-0.00482752)
2             34               (-0.00406918,2.94903e-17)
2             38               (0.00495305,0.00161991)
2             35               (-0.0243564,-0.00562763)
2             39               (0.00150699,0.00707778)
6             38               (0.00355324,3.54805e-17)
6             39               (-0.0239645,0.00677226)
3             36               (0.000640132,-0.000275418)
3             37               (0.000881201,-1.68369e-06)
3             38               (-0.00058781,-0.0054672)
3             35               (0.00166144,1.04083e-17)
3             39               (-0.00483073,0.00257779)
7             39               (-0.00211211,1.09233e-17)
0             40               (-0.0206243,7.45931e-17)
0             44               (-0.0119177,0.00465734)
0             41               (0.135084,-0.00874633)
0             45               (0.00687458,0.0714063)
0             42               (0.0263316,-0.0110221)
0             46               (-0.0280063,0.00271687)
0             43               (0.192272,-0.00390373)
0             47               (-0.0285429,-0.00781179)
4             44               (0.019595,1.64934e-17)
4             45               (0.140902,0.00928301)
4             46               (0.0317623,0.0104776)
4             47               (0.08332,0.00413895)
1             44               (-0.000570263,-0.00473346)
1             41               (0.0210144,3.72966e-17)
1             45               (0.0128348,0.00588717)
1             42               (-0.00867643,-8.33807e-05)
1             46               (-0.00233134,-9.83738e-06)
1             43               (0.0358838,0.00880436)
1             47               (0.00609068,-0.0039586)
5             45               (-0.023635,-3.12386e-17)
5             46               (-0.0330342,-0.000415222)
5             47               (0.0218569,-0.00912582)
2             44               (-0.0108757,7.16468e-05)
2             45               (-0.0131209,0.011862)
2             42               (0.0128061,2.1684e-17)
2             46               (-0.0202366,-0.00383612)
2             43               (0.13596,0.0144678)
2             47               (-0.00558963,-0.047233)
6             46               (-0.0121034,-2.1684e-19)
6             47               (0.140256,-0.015705)
3             44               (0.00208586,0.00455691)
3             45               (0.0123437,-5.29655e-05)
3             46               (0.000347505,0.0143903)
3             43               (-0.00881828,4.25007e-17)
3             47               (0.0189234,-0.008395)
7             47               (0.0117655,1.55041e-17)
0             48               (-0.0133896,-1.73472e-18)
0             52               (0.00774451,-0.018379)
0             49               (-0.0199621,0.000917715)
0             53               (-0.00179332,-0.0136172)
0             50               (-0.0270219,-0.00493754)
0             54               (-0.0152381,0.00323685)
0             51               (0.00468838,-0.00144019)
0             55               (-0.00698575,-0.0029116)
4             52               (0.0132059,-6.54587e-18)
4             53               (-0.0222086,-0.000778877)
4             54               (-0.0214081,0.00530137)
4             55               (-0.012029,0.0014257)
1             52               (0.000477538,-0.0054868)
1             49               (0.0154239,-1.47451e-17)
1             53               (-0.0106069,-0.0149827)
1             50               (-0.00873346,8.57156e-06)
1             54               (-0.00151031,0.000922881)
1             51               (-0.0213345,0.00405252)
1             55               (0.00534065,-0.00108846)
5             53               (-0.0164276,5.94956e-18)
5             54               (-0.0329977,-0.000178013)
5             55               (-0.0274879,-0.00506822)
2             52               (0.0422471,0.00169128)
2             53               (-0.0131209,0.011862)
2             50               (0.0185805,-6.93889e-18)
2             54               (0.003956,0.017556)
2             51               (-0.0202247,-0.00110512)
2             55               (0.00128588,0.0115889)
6             54               (-0.0195766,-1.1872e-17)
6             55               (-0.0223577,0.00107139)
3             52               (0.00206604,0.017124)
3             53               (-0.0656816,0.0013046)
3             54               (0.00421263,0.0249547)
3             51               (-0.0156836,-6.15827e-17)
3             55               (0.000470389,0.0155373)
7             55               (0.0178672,-2.8894e-17)
0             56               (0.00870099,2.51535e-17)
0             60               (-0.00203415,0.00122308)
0             57               (0.0118063,-0.00144824)
0             61               (0.000749915,0.00824001)
0             58               (0.0135868,0.00201177)
0             62               (0.00777529,-0.00162831)
0             59               (-0.000124406,0.00162699)
0             63               (0.00597171,0.00272006)
4             60               (-0.00943265,-1.38913e-17)
4             61               (0.0122611,0.00149987)
4             62               (0.0103191,-0.00229745)
4             63               (0.0105647,-0.00146239)
1             60               (-0.00104475,-0.0110064)
1             57               (-0.00830256,1.30104e-17)
1             61               (0.00108159,0.000326305)
1             58               (-0.0112989,0.000621212)
1             62               (-0.00188839,0.00381197)
1             59               (0.0103878,-0.0016859)
1             63               (-0.00363441,0.000592366)
5             61               (0.0104239,-1.05439e-17)
5             62               (0.0057028,-0.00102133)
5             63               (0.0137419,0.00215566)
2             60               (-0.0108757,7.16468e-05)
2             61               (0.00552329,-0.00482752)
2             58               (-0.00840183,-7.80626e-18)
2             62               (0.00242342,-0.00133087)
2             59               (0.012147,0.00226609)
2             63               (-0.000915896,-0.00422495)
6             62               (0.00893039,-4.06576e-19)
6             63               (0.0117445,-0.0029693)
3             60               (-0.00612562,-0.010412)
3             61               (0.0123437,-5.29655e-05)
3             62               (0.00131828,0.0130536)
3             59               (0.00815949,6.07153e-17)
3             63               (-0.0029033,0.0005615)
7             63               (-0.0100778,9.05309e-18)
0             64               (-0.0026427,-1.75086e-17)
0             68               (0.00167514,-0.00191197)
0             65               (-0.0068523,0.00264499)
0             69               (-0.00129052,-0.0123998)
0             66               (-0.00289497,0.00203447)
0             70               (0.00423123,-0.000597632)
0             67               (-0.000639571,-0.000774664)
0             71               (-0.00247479,-0.00184913)
4             68               (0.00372657,-2.90502e-17)
4             69               (-0.00969422,-0.00273925)
4             70               (-0.00257237,-0.00199371)
4             71               (-0.00535417,0.000732941)
1             68               (0.000248201,0.00336026)
1             65               (0.00374154,6.99837e-18)
1             69               (-0.00119521,-0.0015774)
1             66               (0.00931592,-0.000621455)
1             70               (0.00240824,-0.00397122)
1             67               (-0.00377056,-0.0014256)
1             71               (-6.81731e-05,0.000444691)
5             69               (-0.00514559,-2.98217e-17)
5             70               (-0.00166526,0.00125294)
5             71               (-0.00128613,0.00184457)
2             68               (0.00295193,-0.000294812)
2             69               (-9.13487e-05,0.000158703)
2             66               (0.00417175,1.76172e-18)
2             70               (-0.000164406,0.00196409)
2             67               (-0.00737471,-0.00442841)
2             71               (0.00059552,0.00502311)
6             70               (-0.00491575,-3.75314e-17)
6             71               (-0.00918006,0.00528664)
3             68               (0.00208586,0.00455691)
3             69               (0.000881201,-1.68369e-06)
3             70               (-7.55757e-05,-0.00747211)
3             67               (-0.00319302,-1.26265e-17)
3             71               (0.000806556,0.00110492)
7             71               (0.00425719,-2.55131e-17)
0             72               (0.0022494,2.60209e-18)
0             76               (-0.00426865,-0.00104237)
0             73               (0.011853,-0.00112523)
0             77               (-0.000457054,0.00836359)
0             74               (0.00459199,-0.00456346)
0             78               (-0.00962798,0.000115264)
0             75               (0.0172019,-0.000604695)
0             79               (-0.00470815,-0.00188183)
4             76               (-0.000344188,1.00289e-17)
4             77               (0.0121074,0.00177273)
4             78               (0.00468843,0.00391621)
4             79               (0.00601966,0.000723956)
1             76               (-5.98554e-05,-0.00312174)
1             73               (0.00143596,1.38778e-17)
1             77               (0.00356135,-0.00215952)
1             74               (-0.00465426,0.000258974)
1             78               (-0.00162585,0.00151757)
1             75               (0.00689058,0.00333918)
1             79               (0.000808404,-0.00170399)
5             77               (-0.00353113,3.02221e-17)
5             78               (0.000186193,-0.000676187)
5             79               (0.00170491,-0.00348832)
2             76               (-0.00262306,6.58863e-06)
2             77               (-0.00212826,0.00132189)
2             74               (-0.000632511,1.38778e-17)
2             78               (-0.00412747,0.00196808)
2             75               (0.0121979,0.00210181)
2             79               (-0.00127843,-0.00425907)
6             78               (-0.000611973,1.99764e-17)
6             79               (0.0115954,-0.00317204)
3             76               (0.000640132,-0.000275418)
3             77               (0.00205717,4.66632e-05)
3             78               (0.000777708,0.0106242)
3             75               (0.00393538,0)
3             79               (0.0033952,0.00139456)
7             79               (-0.00250094,-2.64003e-17)
0             80               (0.000401451,1.73472e-17)
0             84               (0.00892578,-0.00032773)
0             81               (-0.0200935,0.000232051)
0             85               (0.000486841,-0.013871)
0             82               (-0.00226515,0.00443426)
0             86               (0.0128149,-0.00128726)
0             83               (-0.0338828,0.00156537)
0             87               (0.00918127,0.00471461)
4             84               (-0.00230375,-1.01102e-17)
4             85               (-0.0219454,-0.00139497)
4             86               (-0.00432656,-0.0043869)
4             87               (-0.0131587,-0.00169395)
1             84               (0.000750893,0.00325792)
1             81               (-0.00344446,2.42861e-17)
1             85               (-0.00840819,0.0014842)
1             82               (0.00655491,0.00026992)
1             86               (0.000296746,0.00126259)
1             83               (-0.00670957,-0.00348003)
1             87               (-0.00358623,0.00180339)
5             85               (0.00657184,-5.77338e-18)
5             86               (0.0178405,-0.000574069)
5             87               (0.000541719,0.00384711)
2             84               (0.00472104,0.000275011)
2             85               (-0.00225125,0.00210904)
2             82               (0.00128368,1.30104e-17)
2             86               (0.00968821,-0.00129197)
2             83               (-0.0203662,-0.000746261)
2             87               (0.0018534,0.0116594)
6             86               (-0.000102163,-2.87585e-17)
6             87               (-0.0221018,0.00151724)
3             84               (-0.00183112,-0.00154772)
3             85               (-0.0122928,-0.00103179)
3             86               (0.000590456,-0.00740324)
3             83               (-0.00462753,8.67362e-19)
3             87               (-0.00829178,0.00015533)
7             87               (0.00222093,1.2631e-17)
0             88               (0.00534564,2.77556e-17)
0             92               (-0.0190395,-0.0145384)
0             89               (0.0313033,0.00742832)
0             93               (-0.00474503,-0.0304633)
0             90               (-0.0240526,-0.00042177)
0             94               (-0.0128976,0.00306334)
0             91               (-0.0335248,4.55565e-05)
0             95               (0.00410586,0.00103435)
4             92               (-0.00340925,-3.87602e-18)
4             93               (0.0262847,-0.00701702)
4             94               (-0.0181803,0.00161125)
4             95               (-0.00944068,-0.000319782)
1             92               (-0.00175984,-0.0108511)
1             89               (0.00143126,4.77049e-18)
1             93               (0.0153191,-0.0183549)
1             90               (-0.0144342,-0.000730651)
1             94               (0.00112599,-0.00335866)
1             91               (-0.0166727,0.00050038)
1             95               (0.0106882,-0.000220643)
5             93               (-0.00432667,1.89193e-17)
5             94               (-0.0352547,0.00151145)
5             95               (-0.025606,-0.00124606)
2             92               (-0.00826599,-0.00107668)
2             93               (0.0219539,-0.0159735)
2             90               (-0.00802221,6.93889e-18)
2             94               (-0.0139859,0.0176804)
2             91               (0.0312637,-0.0122857)
2             95               (-0.00012886,0.0111126)
6             94               (0.00606369,1.53957e-17)
6             95               (0.0270364,0.0124752)
3             92               (0.000877812,-0.00215238)
3             93               (0.0274744,0.00217454)
3             94               (0.000123538,0.0129602)
3             91               (0.0151359,1.30104e-17)
3             95               (0.0153574,0.0159264)
7             95               (-0.0122183,3.79471e-19)
0             96               (0.00312848,-6.245e-17)
0            100               (-0.00203825,0.00490521)
0             97               (0.00541281,0.00115477)
0            101               (6.81018e-05,-0.000790326)
0             98               (0.00450014,0.00234781)
0            102               (0.00617129,-0.000812897)
0             99               (-0.00498711,-0.000157697)
0            103               (0.000462217,-0.00019077)
4            100               (-0.00261717,-1.7293e-17)
4            101               (0.0057525,-0.00125488)
4            102               (0.00385659,-0.00230324)
4            103               (2.85742e-05,6.39578e-05)
1            100               (-0.000127714,0.00348624)
1             97               (-0.00451151,-1.04083e-17)
1            101               (0.00335381,0.00352038)
1             98               (0.00370639,-0.000375692)
1            102               (0.00146011,-0.00250758)
1             99               (0.00267044,-0.00177263)
1            103               (-0.00137583,0.000700196)
5            101               (0.00419153,-3.43557e-17)
5            102               (0.00649043,0.0009185)
5            103               (0.0060931,0.00208485)
2            100               (-0.00554215,-0.00133898)
2            101               (0.00554227,-0.00492625)
2             98               (-0.00555147,-2.1684e-17)
2            102               (-0.00150736,-0.00426224)
2             99               (0.00529314,-0.00217549)
2            103               (-0.000330488,-0.00266954)
6            102               (0.00558109,-6.40763e-17)
6            103               (0.00615982,0.00265112)
3            100               (0.00152983,-0.00283311)
3            101               (0.0152624,-0.000598415)
3            102               (-0.0021131,-0.0114351)
3             99               (0.00364899,7.80626e-18)
3            103               (0.000290252,-0.00409592)
7            103               (-0.00386993,1.33628e-17)
0            104               (-0.00346241,-7.10027e-18)
0            108               (-0.00044701,0.000314355)
0            105               (-0.00347903,-0.00119489)
0            109               (0.000324028,0.00466727)
0            106               (-0.00910512,-0.00404924)
0            110               (-0.0117491,0.00195089)
0            107               (-0.000669684,-0.00084875)
0            111               (-0.00327674,-0.00074817)
4            108               (0.00430484,-3.2086e-17)
4            109               (-0.00184441,0.00134445)
4            110               (-0.00712231,0.00421461)
4            111               (-0.00532831,0.00071631)
1            108               (0.000497114,0.00354378)
1            105               (0.00417148,-6.01205e-18)
1            109               (0.000835997,0.000399608)
1            106               (0.000519205,7.17949e-05)
1            110               (-0.000507359,0.000462508)
1            107               (-0.0053467,0.00308141)
1            111               (0.00332044,-0.00116531)
5            109               (-0.00585703,-6.05588e-17)
5            110               (-0.00458717,-0.000334852)
5            111               (-0.011648,-0.00387015)
2            108               (0.00347153,0.000532857)
2            109               (-0.00489167,0.00437384)
2            106               (0.00361918,-2.42591e-17)
2            110               (-0.00266619,-9.94958e-05)
2            107               (-0.00334085,0.00219651)
2            111               (0.000132422,-0.00115011)
6            110               (-0.00404967,-2.83699e-17)
6            111               (-0.00190305,-0.00242401)
3            108               (0.00223291,0.00435423)
3            109               (-0.00761541,0.000280272)
3            110               (-6.7321e-05,-2.52517e-05)
3            107               (-0.00257693,2.46701e-17)
3            111               (0.00233513,-0.00114343)
7            111               (0.00385053,-5.08835e-17)
0            112               (7.76289e-05,2.77556e-17)
0            116               (0.00244912,0.00301335)
0            113               (-0.00352228,-0.00161887)
0            117               (0.00196501,0.00451329)
0            114               (-0.00295677,0.00238019)
0            118               (0.00462315,0.000699544)
0            115               (-0.0150427,0.00139941)
0            119               (0.00735185,0.0035575)
4            116               (-0.00325432,2.00306e-17)
4            117               (-0.00161755,0.000964405)
4            118               (-0.0023315,-0.00174188)
4            119               (0.000157876,-0.00146868)
1            116               (-2.24844e-05,6.77275e-05)
1            113               (-0.00495437,5.20417e-18)
1            117               (-0.0022173,0.00387457)
1            114               (-0.00468729,0.000328617)
1            118               (-0.000810098,0.00233813)
1            115               (-0.00386639,-0.00172938)
1            119               (-0.000156394,0.00123488)
5            117               (0.00874084,5.0578e-17)
5            118               (0.00021197,-0.000540364)
5            119               (-0.00101711,0.00143447)
2            116               (0.000853913,0.000183296)
2            117               (0.00276854,-0.00163344)
2            114               (-0.00349913,4.0766e-17)
2            118               (0.00414718,-0.00394847)
2            115               (-0.00339174,0.00243452)
2            119               (0.000650322,-0.00112497)
6            118               (0.00552308,-4.63496e-18)
6            119               (-0.00167216,-0.00215691)
3            116               (-0.00238039,-0.00384259)
3            117               (-0.00411202,-1.90056e-06)
3            118               (-0.000552296,-0.00359892)
3            115               (-0.000879252,2.25514e-17)
3            119               (-0.00396859,-0.00251026)
7            119               (-0.00175448,3.36374e-17)
0            120               (-0.00139874,3.03577e-17)
0            124               (-0.00335708,0.000724214)
0            121               (0.0054913,0.0016234)
0            125               (-0.00149253,-0.000625274)
0            122               (-0.0026354,0.000355469)
0            126               (-0.00240247,0.00065162)
0            123               (0.00765504,-0.000828699)
0            127               (-0.00394444,-0.00188833)
4            124               (0.00250053,1.70626e-17)
4            125               (0.00556019,-0.000801874)
4            126               (-0.00187403,7.47359e-05)
4            127               (-2.83532e-05,0.000826901)
1            124               (-0.000711671,0.000204659)
1            121               (0.00276518,2.86229e-17)
1            125               (0.00351133,7.5288e-05)
1            122               (-0.00116775,-0.000525397)
1            126               (0.00124168,-0.00287949)
1            123               (-0.00094921,-0.000201449)
1            127               (0.00247064,-7.61285e-05)
5            125               (-0.00468181,-2.77556e-17)
5            126               (-0.0166981,0.00121882)
5            127               (-0.00346736,0.000128368)
2            124               (-0.00199249,2.39745e-05)
2            125               (0.00224339,-0.00212751)
2            122               (0.000884777,0)
2            126               (-0.00459975,-0.000118036)
2            123               (0.00538123,-0.00244654)
2            127               (-0.00072128,-0.0026975)
6            126               (-0.0014424,-1.30104e-18)
6            127               (0.00596106,0.00234117)
3            124               (0.000819014,0.00221373)
3            125               (0.00916612,0.00123601)
3            126               (-0.00148808,-0.00368468)
3            123               (0.000749181,5.20417e-18)
3            127               (0.00389346,-0.00107215)
7            127               (0.000623289,7.61652e-18)
0            128               (-0.00175212,-6.93889e-18)
0            132               (0.00484217,0.00376669)
0            129               (-0.00469659,-0.00289898)
0            133               (0.00189474,0.0137276)
0            130               (0.00616593,-0.0023875)
0            134               (-0.000664958,-0.000863205)
0            131               (0.0172257,-0.000508034)
0            135               (-0.00416991,-0.00264144)
4            132               (0.00162769,-1.52059e-17)
4            133               (-0.00169837,0.00297905)
4            134               (0.00517104,0.00156892)
4            135               (0.00599928,0.000704169)
1            132               (0.000943435,0.00344881)
1            129               (-0.000516371,-1.38778e-17)
1            133               (-0.00406421,0.00461248)
1            130               (0.000699214,0.00031884)
1            134               (-0.000871767,0.00175863)
1            131               (0.00479668,0.00175805)
1            135               (-0.00319856,-0.000767812)
5            133               (0.000781034,-2.97885e-17)
5            134               (0.00857143,-0.000674166)
5            135               (0.00618647,-0.00164901)
2            132               (0.00463437,0.000179242)
2            133               (-0.0061297,0.00480391)
2            130               (0.00189492,-1.56125e-17)
2            134               (0.00337029,-0.00452315)
2            131               (-0.00453674,0.0049604)
2            135               (0.000102721,-0.00581851)
6            134               (-0.00160076,-1.74557e-17)
6            135               (-0.00186826,-0.00520077)
3            132               (0.00178473,0.00248117)
3            133               (-0.0122595,-0.000832844)
3            134               (0.00076952,2.06378e-05)
3            131               (-0.00452579,-2.25514e-17)
3            135               (-0.00374919,-0.00393284)
7            135               (0.00409139,-5.96311e-19)
0            136               (-0.00251497,-4.94396e-17)
0            140               (0.00103701,0.00866217)
0            137               (-0.00476061,-0.00319235)
0            141               (0.00249754,0.013646)
0            138               (0.01365,0.0017328)
0            142               (0.00751572,-0.00258736)
0            139               (0.00763942,0.000834016)
0            143               (0.00215476,0.00126214)
4            140               (0.000126959,-3.10488e-17)
4            141               (-0.00163451,0.00273169)
4            142               (0.0101525,-0.0024636)
4            143               (0.00484628,-0.000667145)
1            140               (-0.000201527,0.00346081)
1            137               (-0.00138831,-2.25514e-17)
1            141               (0.000392484,0.00955635)
1            138               (0.00657995,0.000229475)
1            142               (-0.000237292,0.000715446)
1            139               (0.0104715,-0.00148459)
1            143               (-0.00359294,4.65845e-05)
5            141               (0.00377832,1.81604e-18)
5            142               (0.0178232,-0.000683622)
5            143               (0.0135678,0.00247326)
2            140               (-0.0110147,-0.000404035)
2            141               (-0.00343263,0.00124544)
2            138               (-0.000975668,-8.67362e-19)
2            142               (0.000101483,-0.0095643)
2            139               (-0.00460057,0.00508379)
2            143               (7.5023e-05,-0.00577573)
6            142               (0.002951,-4.52925e-17)
6            143               (-0.00182601,-0.00500832)
3            140               (-0.00376106,-0.00586789)
3            141               (0.0124042,-0.00166855)
3            142               (-0.00192387,-0.0114026)
3            139               (-0.00205246,-3.03577e-17)
3            143               (-0.00142882,-0.00900229)
7            143               (7.51211e-05,-5.68664e-17)
0            144               (-0.0023874,2.10532e-17)
0            148               (0.0033589,-0.00208519)
0            145               (-0.00169229,-2.81775e-06)
0            149               (-0.000338783,-0.00245133)
0            146               (0.00450014,0.00234781)
0            150               (0.00617129,-0.000812897)
0            147               (0.00763942,0.000834016)
0            151               (0.00215476,0.00126214)
4            148               (0.000213125,1.06021e-17)
4            149               (-0.00271394,5.19847e-05)
4            150               (0.00385659,-0.00230324)
4            151               (0.00484628,-0.000667145)
1            148               (-0.000352537,-0.00261585)
1            145               (0.000557687,9.71282e-18)
1            149               (-0.00390336,-0.000458153)
1            146               (0.000519205,7.17949e-05)
1            150               (-0.000507359,0.000462508)
1            147               (0.00267044,-0.00177263)
1            151               (-0.00137583,0.000700196)
5            149               (0.00190249,2.01603e-17)
5            150               (-0.00458717,-0.000334852)
5            151               (0.0060931,0.00208485)
2            148               (0.00187063,0.000288556)
