# iter   OP_error_   E_class   E_quant    mu_   Total_Particles   OPs_.total_Den
0   1.09914469281817   930.386449360136   -886.149162092187    2.54850147057509   540   554.654479679948
1   0.438288074973961   279.084180491856   -455.471416607711    2.34452186917325   540   545.861826386128
2   0.101247038339956   -83.2012503037037   -173.723804358247    2.83723757204653   540   540.077197065327
3   0.0799453977904015   -94.087484988482   -163.550473173001    2.85461339828486   540   540.054389928524
4   0.0432174460738098   -119.143293625741   -140.650203053819    2.87024389162124   540   539.997541806243
5   0.0416297597758085   -128.803415942246   -132.926944545605    2.83294290832013   540   539.947920248664
6   0.0390098861889028   -131.588451171355   -130.483064879767    2.82662204249276   540   539.969445554723
7   0.0390546842385923   -133.140233818232   -129.325880893954    2.81646584733905   540   539.97640899138
8   0.0393109705367015   -134.121656561997   -128.770471169669    2.80372956973868   540   539.979419225866
9   0.039580447405776   -134.888622226156   -128.478829446828    2.78876448484298   540   539.981235835945
10   0.0398344200063582   -135.579420127811   -128.308888474501    2.77211100155441   540   539.982473100053
11   0.0400591396759993   -136.246401109269   -128.203960837359    2.75417259205136   540   539.983564600734
12   0.0402453749231681   -136.907843019589   -128.138776839138    2.73525518693424   540   539.984367858878
13   0.0403858993195602   -137.569675773899   -128.100739279964    2.71561050509927   540   539.984990105593
14   0.0404745398523244   -138.233336914634   -128.083865119998    2.69545519609478   540   539.985597628435
15   0.0405147616656501   -138.918366706916   -128.059243900976    2.67508607517301   540   539.98532537395
16   0.0402990793969317   -138.836029484456   -129.237178938882    2.63927111243359   540   539.992845016549
17   0.0400537587478013   -139.057759291134   -129.918463843861    2.61073605448969   540   539.996485103144
18   0.0398320252461516   -139.292777339001   -130.331740287551    2.59046668672776   540   540.001710896257
19   0.0385022969737144   -138.712932876649   -133.199695023167    2.51769614248575   540   540.002042635149
20   0.0363705151484294   -138.250488628492   -136.152783319993    2.44015860242664   540   540.001150670421
21   0.0352788103037313   -140.551338902877   -134.97891480164    2.41052842188881   540   539.999569146429
22   0.033635169088455   -141.684978290629   -135.263254586556    2.36790510565135   540   539.999032480985
23   0.0330707388456145   -142.224959239362   -136.186793399765    2.32276805009672   540   539.99883669085
24   0.0381756966186796   -142.479404532523   -137.407950263955    2.28892343724419   540   539.998796124338
25   0.0331162340069756   -143.268613440242   -138.228733304528    2.24835819831861   540   539.998980049163
26   0.0305424702687238   -143.753670108713   -139.163453878467    2.2422525148458   540   539.998983784221
27   0.0425337104946166   -144.472342473095   -139.844563215371    2.21530595454869   540   539.999025497563
28   0.0328331620766185   -145.770616424953   -140.139504031907    2.18351862028874   540   539.999027996197
29   0.028096242683636   -145.996169988419   -141.14520907678    2.15528662172705   540   539.999027673388
30   0.0313413258500326   -146.483737188157   -141.71111297283    2.13437768140216   540   539.999278352867
31   0.0257238087878215   -146.866369365142   -142.307343671657    2.11335028285326   540   539.999587815979
32   0.0221928735304211   -147.826032761588   -142.164296907759    2.08934469481332   540   539.999748853986
33   0.0183263982661366   -147.848730338791   -142.819689609519    2.06398518975796   540   539.999832191157
34   0.0178791604571571   -147.827234672807   -143.341845968369    2.05543263515596   540   539.99989009587
35   0.0146800140098276   -148.792509451673   -142.763447887493    2.05833414505952   540   539.999978933487
36   0.0120618044922091   -149.139205672937   -142.753693393226    2.05875590190693   540   540.000068801928
37   0.00969701218255286   -149.166561991373   -142.998725058162    2.05496597555672   540   540.000015411286
38   0.00731434645373167   -149.118356759041   -143.239691998502    2.05105114116762   540   540.000041160106
39   0.00529845291650261   -148.931990872713   -143.549336211218    2.04828136563636   540   540.000001534337
40   0.00364144755286443   -148.814335277009   -143.737412666695    2.04668030022494   540   540.00000122632
41   0.00192823057975855   -148.141925184901   -144.454766341574    2.04476375298668   540   540.000018054258
42   0.0024135104353387   -146.677639741374   -145.929319453902    2.04230344716972   540   539.999995298822
43   0.000335792286568657   -148.450414032026   -144.159284572384    2.04497478588637   540   539.999978237718
44   0.000342349014082711   -148.066423179301   -144.543285860523    2.04438964898957   540   539.999996276276
45   0.000143214317326645   -148.190486546063   -144.419188249018    2.04457860937399   540   540.000007870214
46   0.000108400190829308   -148.134669430311   -144.475056153224    2.04449360427034   540   540.000040683055
47   6.78298280347159e-05   -148.125162323801   -144.484643644882    2.04447921074126   540   540.000040975971
